Date,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
2020-07-07,87,875.0,833.0,855.0,9939.0,8536111.0,817.0,38.00 
2020-07-06,55,841.0,770.0,817.0,7209.0,5784777.0,800.0,17.00 
2020-07-05,34,838.0,782.0,800.0,5667.0,4551272.0,791.0,9.00 
2020-07-02,14,837.0,791.0,791.0,1615.0,1316245.0,805.0,-14.00 
2020-07-01,12,805.0,778.0,805.0,1583.0,1238160.0,763.0,42.00 
2020-06-30,12,763.0,735.0,763.0,947.0,708131.0,721.0,42.00 
2020-06-29,13,724.0,720.0,721.0,2272.0,1641556.0,737.0,-16.00 
2020-05-13,2,744.0,737.0,737.0,20.0,14810.0,759.0,-22.00 
2020-03-22,7,775.0,745.0,759.0,120.0,90640.0,760.0,-1.00 
2020-03-19,143,780.0,731.0,760.0,15366.0,11628865.0,751.0,9.00 
2020-03-18,108,785.0,723.0,751.0,11245.0,8430057.0,775.0,-24.00 
2020-03-17,120,791.0,748.0,775.0,13482.0,10428513.0,800.0,-25.00 
2020-03-16,147,825.0,788.0,800.0,18283.0,14680405.0,809.0,-9.00 
2020-03-15,163,836.0,802.0,809.0,14824.0,12081131.0,849.0,-40.00 
2020-03-12,140,881.0,840.0,849.0,16912.0,14515703.0,868.0,-19.00 
2020-03-11,167,872.0,807.0,868.0,18232.0,15487712.0,823.0,45.00 
2020-03-10,44,839.0,794.0,823.0,5552.0,4563862.0,856.0,-33.00 
2020-03-05,235,928.0,784.0,856.0,27432.0,23626887.0,868.0,-12.00 
2020-03-04,211,940.0,856.0,868.0,24155.0,21399411.0,926.0,-58.00 
2020-03-03,318,948.0,859.0,926.0,32145.0,29195545.0,954.0,-28.00 
2020-03-02,110,992.0,954.0,954.0,12059.0,11718941.0,980.0,-26.00 
2020-03-01,286,1028.0,976.0,980.0,38700.0,38519182.0,1006.0,-26.00 
2020-02-27,268,1050.0,980.0,1006.0,39561.0,40375839.0,1040.0,-34.00 
2020-02-26,212,1080.0,1040.0,1040.0,26325.0,27956460.0,1050.0,-10.00 
2020-02-25,211,1050.0,987.0,1050.0,24111.0,24917557.0,1025.0,25.00 
2020-02-24,197,1063.0,1019.0,1025.0,26014.0,26925681.0,1043.0,-18.00 
2020-02-23,273,1100.0,1005.0,1043.0,47829.0,50503088.0,1004.0,39.00 
2020-02-20,367,1004.0,941.0,1004.0,51549.0,50319129.0,925.0,79.00 
2020-02-19,198,930.0,881.0,925.0,27226.0,24807405.0,885.0,40.00 
2020-02-18,182,920.0,880.0,885.0,22414.0,20052356.0,902.0,-17.00 
2020-02-17,181,934.0,895.0,902.0,22021.0,20172809.0,905.0,-3.00 
2020-02-16,156,910.0,896.0,905.0,18780.0,16951490.0,896.0,9.00 
2020-02-13,241,910.0,885.0,896.0,31965.0,28673850.0,890.0,6.00 
2020-02-12,222,895.0,879.0,890.0,29207.0,25955468.0,873.0,17.00 
2020-02-11,259,876.0,852.0,873.0,30768.0,26653411.0,841.0,32.00 
2020-02-10,203,844.0,805.0,841.0,20656.0,17153471.0,812.0,29.00 
2020-02-09,76,842.0,808.0,812.0,6822.0,5554423.0,826.0,-14.00 
2020-02-06,93,835.0,816.0,826.0,8145.0,6707834.0,831.0,-5.00 
2020-02-05,92,855.0,828.0,831.0,10327.0,8600127.0,839.0,-8.00 
2020-02-04,132,860.0,831.0,839.0,12926.0,10862267.0,850.0,-11.00 
2020-02-03,79,865.0,848.0,850.0,6886.0,5864090.0,856.0,-6.00 
2020-02-02,141,881.0,844.0,856.0,18672.0,15995242.0,864.0,-8.00 
2020-01-30,200,892.0,857.0,864.0,20249.0,17652508.0,875.0,-11.00 
2020-01-29,186,880.0,832.0,875.0,25903.0,22002202.0,834.0,41.00 
2020-01-28,199,842.0,820.0,834.0,32200.0,26759580.0,805.0,29.00 
2020-01-27,241,819.0,794.0,805.0,23748.0,19143438.0,793.85,11.15 
2020-01-26,613,1050.0,1027.0,1032.0,80021.0,82646270.0,1030.0,2.00 
